trainid,opid,kind,duetime
RJ71,WBF,Abfahrt,04.02.2019 08:58:00
RJ71,MLX,Durchfahrt,04.02.2019 09:00:00
RJ71,MAT,Durchfahrt,04.02.2019 09:01:30
RJ71,MI,Ankunft,04.02.2019 09:03:00
RJ71,MI,Abfahrt,04.02.2019 09:05:00
RJ71,WBB,Durchfahrt,04.02.2019 09:06:30
RJ71,HET,Durchfahrt,04.02.2019 09:07:30
RJ71,WBFS11,Durchfahrt,04.02.2019 09:08:06
RJ71,WBFS21,Durchfahrt,04.02.2019 09:08:30
RJ71,LGA,Durchfahrt,04.02.2019 09:09:30
RJ71,LGF,Durchfahrt,04.02.2019 09:10:00
RJ71,LG,Durchfahrt,04.02.2019 09:10:30
RJ71,LG H1,Durchfahrt,04.02.2019 09:11:12
RJ71,BUN,Durchfahrt,04.02.2019 09:11:36
RJ71,BU,Durchfahrt,04.02.2019 09:12:06
RJ71,MD,Durchfahrt,04.02.2019 09:13:00
RJ71,MD S11,Durchfahrt,04.02.2019 09:13:48
RJ71,MD H1,Durchfahrt,04.02.2019 09:14:54
RJ71,MD U2,Durchfahrt,04.02.2019 09:15:18
RJ71,MD H2,Durchfahrt,04.02.2019 09:15:36
RJ71,MD S31,Durchfahrt,04.02.2019 09:16:06
RJ71,BF,Durchfahrt,04.02.2019 09:17:00
RJ71,BF H1,Durchfahrt,04.02.2019 09:17:42
RJ71,BF U1,Durchfahrt,04.02.2019 09:18:30
RJ71,BF S21,Durchfahrt,04.02.2019 09:19:00
RJ71,BVS,Durchfahrt,04.02.2019 09:20:00
RJ71,BVSS11,Durchfahrt,04.02.2019 09:20:24
RJ71,BVSH1,Durchfahrt,04.02.2019 09:20:42
RJ71,LB,Durchfahrt,04.02.2019 09:21:18
RJ71,LB S11,Durchfahrt,04.02.2019 09:22:00
RJ71,LB S21,Durchfahrt,04.02.2019 09:22:36
RJ71,LB H1,Durchfahrt,04.02.2019 09:23:00
RJ71,FLD,Durchfahrt,04.02.2019 09:23:36
RJ71,FLDS11,Durchfahrt,04.02.2019 09:24:12
RJ71,FLDH1,Durchfahrt,04.02.2019 09:24:42
RJ71,FLDU2,Durchfahrt,04.02.2019 09:25:00
RJ71,FLDS31,Durchfahrt,04.02.2019 09:25:42
RJ71,FLDH2,Durchfahrt,04.02.2019 09:25:54
RJ71,NBN,Durchfahrt,04.02.2019 09:26:30
RJ71,NB,Ankunft,04.02.2019 09:28:00
RJ71,NB,Abfahrt,04.02.2019 09:32:00
RJ72,NB,Ankunft,04.02.2019 08:28:00
RJ72,NB,Abfahrt,04.02.2019 08:32:00
RJ72,NBN,Durchfahrt,04.02.2019 08:33:48
RJ72,FLDH2,Durchfahrt,04.02.2019 08:34:24
RJ72,FLDS32,Durchfahrt,04.02.2019 08:34:42
RJ72,FLDU2,Durchfahrt,04.02.2019 08:35:30
RJ72,FLDH1,Durchfahrt,04.02.2019 08:35:36
RJ72,FLDS12,Durchfahrt,04.02.2019 08:36:06
RJ72,FLD,Durchfahrt,04.02.2019 08:36:48
RJ72,LB H1,Durchfahrt,04.02.2019 08:37:12
RJ72,LB S22,Durchfahrt,04.02.2019 08:37:42
RJ72,LB S12,Durchfahrt,04.02.2019 08:38:18
RJ72,LB,Durchfahrt,04.02.2019 08:39:00
RJ72,BVSH1,Durchfahrt,04.02.2019 08:39:24
RJ72,BVSS12,Durchfahrt,04.02.2019 08:39:36
RJ72,BVS,Durchfahrt,04.02.2019 08:40:30
RJ72,BF S22,Durchfahrt,04.02.2019 08:41:18
RJ72,BF U1,Durchfahrt,04.02.2019 08:42:00
RJ72,BF H1,Durchfahrt,04.02.2019 08:42:18
RJ72,BF,Durchfahrt,04.02.2019 08:43:00
RJ72,MD S32,Durchfahrt,04.02.2019 08:43:36
RJ72,MD H2,Durchfahrt,04.02.2019 08:44:12
RJ72,MD U2,Durchfahrt,04.02.2019 08:44:36
RJ72,MD H1,Durchfahrt,04.02.2019 08:44:48
RJ72,MD S12,Durchfahrt,04.02.2019 08:45:30
RJ72,MD,Durchfahrt,04.02.2019 08:46:30
RJ72,BU,Durchfahrt,04.02.2019 08:47:30
RJ72,BUN,Durchfahrt,04.02.2019 08:48:00
RJ72,LG H1,Durchfahrt,04.02.2019 08:48:24
RJ72,LG,Durchfahrt,04.02.2019 08:49:30
RJ72,LGF,Durchfahrt,04.02.2019 08:50:00
RJ72,LGA,Durchfahrt,04.02.2019 08:50:30
RJ72,WBFS22,Durchfahrt,04.02.2019 08:51:00
RJ72,WBFS12,Durchfahrt,04.02.2019 08:51:24
RJ72,HET,Durchfahrt,04.02.2019 08:52:30
RJ72,WBB,Durchfahrt,04.02.2019 08:53:30
RJ72,MI,Ankunft,04.02.2019 08:55:00
RJ72,MI,Abfahrt,04.02.2019 08:57:30
RJ72,MAT,Durchfahrt,04.02.2019 08:58:54
RJ72,MLX,Durchfahrt,04.02.2019 09:00:00
RJ72,WBF,Ankunft,04.02.2019 09:02:00
RJ73,WBF,Abfahrt,04.02.2019 10:58:00
RJ73,MLX,Durchfahrt,04.02.2019 11:00:00
RJ73,MAT,Durchfahrt,04.02.2019 11:01:30
RJ73,MI,Ankunft,04.02.2019 11:03:00
RJ73,MI,Abfahrt,04.02.2019 11:05:00
RJ73,WBB,Durchfahrt,04.02.2019 11:06:30
RJ73,HET,Durchfahrt,04.02.2019 11:07:30
RJ73,WBFS11,Durchfahrt,04.02.2019 11:08:06
RJ73,WBFS21,Durchfahrt,04.02.2019 11:08:30
RJ73,LGA,Durchfahrt,04.02.2019 11:09:30
RJ73,LGF,Durchfahrt,04.02.2019 11:10:00
RJ73,LG,Durchfahrt,04.02.2019 11:10:30
RJ73,LG H1,Durchfahrt,04.02.2019 11:11:12
RJ73,BUN,Durchfahrt,04.02.2019 11:11:36
RJ73,BU,Durchfahrt,04.02.2019 11:12:06
RJ73,MD,Durchfahrt,04.02.2019 11:13:00
RJ73,MD S11,Durchfahrt,04.02.2019 11:13:48
RJ73,MD H1,Durchfahrt,04.02.2019 11:14:54
RJ73,MD U2,Durchfahrt,04.02.2019 11:15:18
RJ73,MD H2,Durchfahrt,04.02.2019 11:15:36
RJ73,MD S31,Durchfahrt,04.02.2019 11:16:06
RJ73,BF,Durchfahrt,04.02.2019 11:17:00
RJ73,BF H1,Durchfahrt,04.02.2019 11:17:42
RJ73,BF U1,Durchfahrt,04.02.2019 11:18:30
RJ73,BF S21,Durchfahrt,04.02.2019 11:19:00
RJ73,BVS,Durchfahrt,04.02.2019 11:20:00
RJ73,BVSS11,Durchfahrt,04.02.2019 11:20:24
RJ73,BVSH1,Durchfahrt,04.02.2019 11:20:42
RJ73,LB,Durchfahrt,04.02.2019 11:21:18
RJ73,LB S11,Durchfahrt,04.02.2019 11:22:00
RJ73,LB S21,Durchfahrt,04.02.2019 11:22:36
RJ73,LB H1,Durchfahrt,04.02.2019 11:23:00
RJ73,FLD,Durchfahrt,04.02.2019 11:23:36
RJ73,FLDS11,Durchfahrt,04.02.2019 11:24:12
RJ73,FLDH1,Durchfahrt,04.02.2019 11:24:42
RJ73,FLDU2,Durchfahrt,04.02.2019 11:25:00
RJ73,FLDS31,Durchfahrt,04.02.2019 11:25:42
