ZUGNR,BSCODE,SOLLZEITR
#7104,NB,2019-02-04 05:39:30
7104,NB,2019-02-04 05:43:00
7104,NBN,2019-02-04 05:45:06
7104,FLDH2,2019-02-04 05:46:00
7104,FLDS32,2019-02-04 05:46:24
7104,FLDU2,2019-02-04 05:47:30
7104,FLDH1,2019-02-04 05:47:42
7104,FLDS12,2019-02-04 05:48:18
7104,FLD,2019-02-04 05:49:42
7104,LB,2019-02-04 05:52:42
7104,BVSH1,2019-02-04 05:53:12
7104,BVSS12,2019-02-04 05:53:24
7104,BVS,2019-02-04 05:54:24
7104,BF,2019-02-04 06:00:18
7104,MD,2019-02-04 06:04:36
7104,BU,2019-02-04 06:05:36
7104,BUN,2019-02-04 06:06:18
7104,LG,2019-02-04 06:08:30
7104,LGF,2019-02-04 06:09:06
7104,LGA,2019-02-04 06:09:42
7104,WBFS22,2019-02-04 06:10:12
7104,WBFS12,2019-02-04 06:10:30
7104,HET,2019-02-04 06:12:12
7104,WBB,2019-02-04 06:13:00
7104,MI,2019-02-04 06:15:00
7104,MI,2019-02-04 06:17:00
7104,MAT,2019-02-04 06:19:00
7104,MLX,2019-02-04 06:20:30
7104,WBF,2019-02-04 06:22:30
